User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag
USR00001,SES00001,Browse,2026-01-12 23:16:16,Desktop,Germany,Organic,Electronics,0.0,Yes
USR00002,SES00002,Browse,2026-01-03 03:33:09,Tablet,Germany,Organic,Grocery,0.0,Yes
USR00002,SES00002,Add to Cart,2026-01-03 03:36:09,Tablet,UK,Paid Ads,Books,0.0,Yes
USR00002,SES00002,Checkout,2026-01-03 03:39:09,Mobile,Germany,Email,Electronics,0.0,Yes
USR00003,SES00003,Browse,2026-01-27 09:17:03,Mobile,Germany,Paid Ads,Books,0.0,Yes
USR00003,SES00003,Add to Cart,2026-01-27 09:21:03,Tablet,US,Social Media,Grocery,0.0,Yes
USR00004,SES00004,Browse,2026-01-09 13:13:44,Desktop,India,Social Media,Electronics,0.0,Yes
USR00005,SES00005,Browse,2026-01-29 17:57:32,Desktop,Germany,Social Media,Electronics,0.0,Yes
USR00006,SES00006,Browse,2026-01-28 07:51:24,Tablet,Germany,Social Media,Electronics,0.0,Yes
USR00006,SES00006,Add to Cart,2026-01-28 07:55:24,Mobile,Germany,Organic,Grocery,0.0,Yes
USR00006,SES00006,Checkout,2026-01-28 07:57:24,Desktop,US,Paid Ads,Books,0.0,Yes
USR00007,SES00007,Browse,2026-01-10 09:27:42,Mobile,US,Email,Clothing,0.0,No
USR00007,SES00007,Add to Cart,2026-01-10 09:31:42,Mobile,India,Email,Grocery,0.0,No
USR00007,SES00007,Checkout,2026-01-10 09:33:42,Tablet,US,Organic,Electronics,0.0,No
USR00007,SES00007,Purchase,2026-01-10 09:35:42,Desktop,India,Social Media,Grocery,1221.3,No
USR00008,SES00008,Browse,2026-01-20 11:55:42,Tablet,India,Email,Clothing,0.0,Yes
USR00009,SES00009,Browse,2026-01-03 04:43:02,Desktop,US,Email,Electronics,0.0,Yes
USR00010,SES00010,Browse,2026-01-29 04:51:10,Desktop,India,Paid Ads,Grocery,0.0,Yes
USR00010,SES00010,Add to Cart,2026-01-29 04:55:10,Mobile,UK,Paid Ads,Grocery,0.0,Yes
USR00011,SES00011,Browse,2026-01-18 10:13:04,Desktop,Germany,Paid Ads,Clothing,0.0,Yes
USR00011,SES00011,Add to Cart,2026-01-18 10:15:04,Tablet,US,Social Media,Electronics,0.0,Yes
USR00012,SES00012,Browse,2026-01-19 20:14:11,Tablet,UK,Paid Ads,Books,0.0,Yes
USR00012,SES00012,Add to Cart,2026-01-19 20:16:11,Desktop,India,Paid Ads,Books,0.0,Yes
USR00013,SES00013,Browse,2026-01-14 04:17:25,Desktop,UK,Email,Electronics,0.0,Yes
USR00013,SES00013,Add to Cart,2026-01-14 04:21:25,Desktop,UK,Email,Grocery,0.0,Yes
USR00013,SES00013,Checkout,2026-01-14 04:24:25,Desktop,US,Organic,Electronics,0.0,Yes
USR00014,SES00014,Browse,2026-01-31 22:53:47,Tablet,India,Email,Clothing,0.0,Yes
USR00015,SES00015,Browse,2026-01-15 06:40:45,Mobile,India,Social Media,Clothing,0.0,Yes
USR00015,SES00015,Add to Cart,2026-01-15 06:43:45,Desktop,Germany,Email,Books,0.0,Yes
USR00016,SES00016,Browse,2026-01-11 11:20:01,Desktop,India,Email,Clothing,0.0,No
USR00016,SES00016,Add to Cart,2026-01-11 11:25:01,Mobile,India,Organic,Books,0.0,No
USR00016,SES00016,Checkout,2026-01-11 11:28:01,Tablet,US,Social Media,Grocery,0.0,No
USR00016,SES00016,Purchase,2026-01-11 11:30:01,Tablet,Germany,Organic,Books,225.5,No
USR00017,SES00017,Browse,2026-01-31 20:20:08,Desktop,UK,Email,Clothing,0.0,Yes
USR00017,SES00017,Add to Cart,2026-01-31 20:22:08,Desktop,US,Social Media,Books,0.0,Yes
USR00018,SES00018,Browse,2026-01-27 14:53:13,Desktop,Germany,Social Media,Grocery,0.0,Yes
USR00018,SES00018,Add to Cart,2026-01-27 14:57:13,Mobile,US,Social Media,Clothing,0.0,Yes
USR00018,SES00018,Checkout,2026-01-27 15:01:13,Desktop,UK,Social Media,Electronics,0.0,Yes
USR00019,SES00019,Browse,2026-01-08 06:26:35,Tablet,UK,Social Media,Books,0.0,Yes
USR00019,SES00019,Add to Cart,2026-01-08 06:30:35,Mobile,Germany,Organic,Electronics,0.0,Yes
USR00020,SES00020,Browse,2026-01-17 09:28:51,Mobile,India,Social Media,Grocery,0.0,Yes
USR00021,SES00021,Browse,2026-01-21 07:16:33,Mobile,UK,Email,Clothing,0.0,Yes
USR00021,SES00021,Add to Cart,2026-01-21 07:18:33,Desktop,Germany,Paid Ads,Books,0.0,Yes
USR00022,SES00022,Browse,2026-01-05 06:36:21,Tablet,US,Social Media,Books,0.0,Yes
USR00022,SES00022,Add to Cart,2026-01-05 06:40:21,Mobile,Germany,Social Media,Books,0.0,Yes
USR00022,SES00022,Checkout,2026-01-05 06:44:21,Tablet,US,Social Media,Electronics,0.0,Yes
USR00023,SES00023,Browse,2026-01-13 16:35:14,Desktop,India,Email,Books,0.0,Yes
USR00023,SES00023,Add to Cart,2026-01-13 16:39:14,Tablet,UK,Email,Electronics,0.0,Yes
USR00023,SES00023,Checkout,2026-01-13 16:41:14,Desktop,India,Paid Ads,Clothing,0.0,Yes
USR00024,SES00024,Browse,2026-01-06 13:02:32,Mobile,India,Organic,Grocery,0.0,Yes
USR00024,SES00024,Add to Cart,2026-01-06 13:05:32,Tablet,UK,Email,Electronics,0.0,Yes
USR00024,SES00024,Checkout,2026-01-06 13:09:32,Tablet,India,Paid Ads,Clothing,0.0,Yes
USR00025,SES00025,Browse,2026-01-03 13:20:59,Mobile,US,Email,Grocery,0.0,Yes
USR00026,SES00026,Browse,2026-01-04 16:06:31,Tablet,India,Email,Electronics,0.0,Yes
USR00026,SES00026,Add to Cart,2026-01-04 16:11:31,Tablet,US,Email,Clothing,0.0,Yes
USR00026,SES00026,Checkout,2026-01-04 16:15:31,Mobile,UK,Email,Grocery,0.0,Yes
USR00027,SES00027,Browse,2026-01-04 16:46:42,Tablet,US,Organic,Electronics,0.0,Yes
USR00028,SES00028,Browse,2026-01-12 01:19:15,Tablet,India,Email,Grocery,0.0,Yes
USR00029,SES00029,Browse,2026-01-08 07:13:50,Tablet,UK,Organic,Clothing,0.0,Yes
USR00030,SES00030,Browse,2026-01-22 23:34:46,Tablet,India,Organic,Electronics,0.0,Yes
USR00030,SES00030,Add to Cart,2026-01-22 23:36:46,Mobile,UK,Paid Ads,Grocery,0.0,Yes
USR00030,SES00030,Checkout,2026-01-22 23:38:46,Mobile,India,Organic,Books,0.0,Yes
USR00031,SES00031,Browse,2026-01-22 15:57:58,Tablet,Germany,Email,Electronics,0.0,Yes
USR00031,SES00031,Add to Cart,2026-01-22 16:02:58,Tablet,India,Social Media,Books,0.0,Yes
USR00031,SES00031,Checkout,2026-01-22 16:04:58,Desktop,UK,Paid Ads,Grocery,0.0,Yes
USR00032,SES00032,Browse,2026-01-14 12:18:58,Tablet,US,Organic,Clothing,0.0,Yes
USR00033,SES00033,Browse,2026-01-02 15:51:29,Tablet,India,Paid Ads,Clothing,0.0,Yes
USR00034,SES00034,Browse,2026-01-31 00:27:28,Mobile,US,Email,Electronics,0.0,Yes
USR00034,SES00034,Add to Cart,2026-01-31 00:30:28,Mobile,India,Social Media,Electronics,0.0,Yes
USR00034,SES00034,Checkout,2026-01-31 00:35:28,Desktop,Germany,Organic,Grocery,0.0,Yes
